index name x y z l
400 EElayerCell_04.0001.2 0 1.12 17.6575 4
401 EElayerCell_04.0002.2 0 -1.12 17.6575 4
402 EElayerCell_04.0003.2 0 2.24 17.6575 4
403 EElayerCell_04.0004.2 0 -2.24 17.6575 4
404 EElayerCell_04.0005.2 0 3.36 17.6575 4
405 EElayerCell_04.0006.2 0 -3.36 17.6575 4
406 EElayerCell_04.0007.2 0 4.48 17.6575 4
407 EElayerCell_04.0008.2 0 -4.48 17.6575 4
408 EElayerCell_04.0009.2 0 5.6 17.6575 4
409 EElayerCell_04.0010.2 0 -5.6 17.6575 4
410 EElayerCell_04.0011.2 0.969948 0.56 17.6575 4
411 EElayerCell_04.0012.2 0.969948 -0.56 17.6575 4
412 EElayerCell_04.0013.2 -0.969948 0.56 17.6575 4
413 EElayerCell_04.0014.2 -0.969948 -0.56 17.6575 4
414 EElayerCell_04.0015.2 0.969948 1.68 17.6575 4
415 EElayerCell_04.0016.2 0.969948 -1.68 17.6575 4
416 EElayerCell_04.0017.2 -0.969948 1.68 17.6575 4
417 EElayerCell_04.0018.2 -0.969948 -1.68 17.6575 4
418 EElayerCell_04.0019.2 0.969948 2.8 17.6575 4
419 EElayerCell_04.0020.2 0.969948 -2.8 17.6575 4
420 EElayerCell_04.0021.2 -0.969948 2.8 17.6575 4
421 EElayerCell_04.0022.2 -0.969948 -2.8 17.6575 4
422 EElayerCell_04.0023.2 0.969948 3.92 17.6575 4
423 EElayerCell_04.0024.2 0.969948 -3.92 17.6575 4
424 EElayerCell_04.0025.2 -0.969948 3.92 17.6575 4
425 EElayerCell_04.0026.2 -0.969948 -3.92 17.6575 4
426 EElayerCell_04.0027.2 0.969948 5.04 17.6575 4
427 EElayerCell_04.0028.2 0.969948 -5.04 17.6575 4
428 EElayerCell_04.0029.2 -0.969948 5.04 17.6575 4
